stair.thisTrialN,stair.stepSize,stair.intensity,thisRow.t,notes,trial.started,fixation.started,grating.started,key_resp.started,fixation.stopped,grating.stopped,trial.stopped,corrAns,tilt,key_resp.corr,stair.response,key_resp.rt,participant,session,date,expName,psychopyVersion,frameRate,expStart,
23,0.5,19.5,57.654686599969864,,57.64553490001708,57.654686599969864,58.15506820008159,58.15506820008159,58.15506820008159,58.455090899951756,58.54340759990737,right,19.5,0,0,0.3731717998161912,310954,001,2024-08-22_23h53.56.988,adaptive_staircase,2024.1.5,None,2024-08-22 23h54.03.798011 +0530,
24,0.5,20.0,58.55473469989374,,58.54350209981203,58.55473469989374,59.05509290006012,59.05509290006012,59.05509290006012,59.35511719994247,59.44414639985189,right,20.0,0,0,0.37484030006453395,310954,001,2024-08-22_23h53.56.988,adaptive_staircase,2024.1.5,None,2024-08-22 23h54.03.798011 +0530,
25,0.5,20.0,59.454612399917096,,59.44427340012044,59.454612399917096,59.95515039982274,59.95515039982274,59.95515039982274,,60.2281550001353,left,-20.0,1,1,0.2682416997849941,310954,001,2024-08-22_23h53.56.988,adaptive_staircase,2024.1.5,None,2024-08-22 23h54.03.798011 +0530,
26,0.5,20.0,60.23825220018625,,60.22825110005215,60.23825220018625,60.739473700057715,60.739473700057715,60.739473700057715,61.03804330015555,61.0281352000311,left,-20.0,1,1,0.281419700011611,310954,001,2024-08-22_23h53.56.988,adaptive_staircase,2024.1.5,None,2024-08-22 23h54.03.798011 +0530,
27,0.5,20.0,61.03804330015555,,61.028230499941856,61.03804330015555,61.53841349994764,61.53841349994764,61.53841349994764,,61.67849270021543,right,20.0,0,0,0.13276669988408685,310954,001,2024-08-22_23h53.56.988,adaptive_staircase,2024.1.5,None,2024-08-22 23h54.03.798011 +0530,
28,0.5,20.0,61.687858200166374,,61.678595799952745,61.687858200166374,62.188435500022024,62.188435500022024,62.188435500022024,,62.278425199911,right,20.0,0,0,0.08850259985774755,310954,001,2024-08-22_23h53.56.988,adaptive_staircase,2024.1.5,None,2024-08-22 23h54.03.798011 +0530,
29,0.5,20.0,62.287548900116235,,62.27852510008961,62.287548900116235,62.788587499875575,62.788587499875575,62.788587499875575,63.088291599880904,63.228920800145715,left,-20.0,0,0,0.4325530999340117,310954,001,2024-08-22_23h53.56.988,adaptive_staircase,2024.1.5,None,2024-08-22 23h54.03.798011 +0530,
30,0.5,20.0,63.23790010018274,,63.229023499879986,63.23790010018274,63.73844680003822,63.73844680003822,63.73844680003822,64.0382587001659,64.16149439988658,right,20.0,1,1,0.4147041002288461,310954,001,2024-08-22_23h53.56.988,adaptive_staircase,2024.1.5,None,2024-08-22 23h54.03.798011 +0530,
31,0.5,20.0,64.1711083999835,,64.16159520018846,64.1711083999835,64.6716133998707,64.6716133998707,64.6716133998707,64.97185049997643,110.74124770006165,left,-20.0,0,0,46.05752780009061,310954,001,2024-08-22_23h53.56.988,adaptive_staircase,2024.1.5,None,2024-08-22 23h54.03.798011 +0530,
32,0.5,20.0,110.75255679991096,,110.74137100018561,110.75255679991096,111.25272310012951,111.25272310012951,111.25272310012951,111.55317169986665,111.72620540019125,left,-20.0,0,0,0.47201979998499155,310954,001,2024-08-22_23h53.56.988,adaptive_staircase,2024.1.5,None,2024-08-22 23h54.03.798011 +0530,
